ID,"Account type
""Identified
Anonymous
Media""",Tweet Type,Tweet Type (2),Tweet Type (3),Date posted,Screenshot,Tweet ID,Tweet,Content type
00-20,Anonymous,Reply,,,01/18/22 08:46,00-20.png,1483239266444472323,@ColmenaresPH mr. colmenares natatandaan niyo pa ho pa pag punta niyo dito sa hong kong ni gordon? tuwang tuwa ang mga tao di ho ba.. ngayon ho wag na kayong magtangka kasi ikakampanya ko pong wag kayong iboto dahil salot kayo sa lipunan dahil isa rin kayo sa miyembro malamang ng NPA,Emotional
00-21,Anonymous,Reply,,,01/18/22 20:46,00-21.png,1483420625683517443,"aayyyssuus 😂😂😂

anong pang lalaban ng Gov't. sa kasapi mong NPA laway na duduraan lang tunaw na kalaban? Takot ka lang Ka Neri 😂😂😂",Transactional
00-22,Identified,Reply,,,01/18/22 21:25,00-23.png,1483430407521841152,@ColmenaresPH Huy Buteteng Neri...Tama lang na bumili ng gamit pang giyera ang government. Para ubusin ang mga kasapi nyo na mga SALOT na NPA.,Emotional
00-23,Anonymous,Reply,,,01/19/22 08:25,00-23.png,1483596564861915136,"mas totoo ito at may pagmamahal sa bayan kaysa mga trapo at NPA enablers like gordick, virushonti, binay, delima, trillanes, Villanova, gatchalian, zubiri, trapoe, colmenares, jokeno",Transactional
00-24,Anonymous,Reply,,,01/19/22 12:50,00-24.png,1483663172330737664,@sandiego_gas Mahirap planohin ang manguryente ng titi ng iba niloloko tayo ni Neri Colminares sinungaling iyang NPA na iyan.,Emotional
00-25,Anonymous,Reply,,,01/20/22 11:44,00-25.png,1484008889628561408,"@LilMsMalditaMD Samantalang mga recruits ng NPA (na kaibigan nina Bello, Colmenares, Elago, Casino at Zarate) 12 years old pa lang nagsasanay nang pumatay (at sa babae,pakangkang kay Kumander)!!!",Rational
00-26,Anonymous,Reply,,,01/21/22 15:35,00-26.png,1484429447839494151,A COMMUNIST ALLY like this person NERI COLMINARES should not be voted and get a post in the senate....guys  NPA supporter yan a traitor to PH government 🤨🤨,Rational
00-27,Anonymous,Reply,,,01/21/22 17:41,00-27.png,1484461210900725766,@ColmenaresPH Neri - inutil na recruiter ng NPA,Rational
00-28,Anonymous,Reply,,,01/22/22 01:39,00-28.png,1484581465006362627,@ColmenaresPH AYAW NA NI COLMENARES MAGPAKITA DITO SA PROBINSIYA! KILALA KA NAMIN NA RECRUITER KA NG NPA! KAYA PANAY IWAS NIYO PA DITO KASAMA NA RIN SI ZARATE!,Rational
00-29,Identified,Reply,,,01/22/22 12:26,00-29.png,1484744316027568129,@bigberde @khen0t24 @iMthinkingPinoy SMNI dyan yata ung interview sa isang nag surrender na rebel tapos ibinulgar nya ung pagiging lider ni NERI COLMENARES sa kilusang CPP-NDF NPA na tumatakbong SENADOR sa ilalim ni VP LENI,Transactional
00-30,Anonymous,Reply,,,01/22/22 16:51,00-30.png,1484810889090170881,"@ColmenaresPH SHUNGA? AY GAY LANGUAGE! BAKLA PALA TO SI KEN KEN! IKAW NA BOBO KA AT WALANG KWENTA, SANA MA RECRUIT KA NG NERI MO, PARA DALHIN KA SA BUNDOK AT PAG PARAUSAN NG MGA KOMANDER NG NPA!",Emotional
00-31,Identified,Text,,,01/22/22 20:32,00-31.png,1484866637463695362,"Neri colmenares hayop ka, npa terorista ka pa. Demonyo ka!",Emotional
00-32,Anonymous,Image (including GIF),,,01/24/22 00:12,00-32.png,1485284275868119055,"We already know them very well Karen. Di na namin kailangan panoorin pa sila sa zarsuela ninyo. Yung ayaw namin kilalanin eh yung wala kaming balak iboto, kagaya ni Ka Leody at NPA Colmenares. https://t.co/qALYSepg7k",Emotional
00-33,Anonymous,Reply,,,01/24/22 08:06,00-33.png,1485403535701606406,"@PaxtonDy Nagsalita ang  punagmalaking nakuryente ang iisang bayag, wag ka na Neil Colmenares. Bilang na araw nyo mga unggoy ni Joma Sison. Paubos na mga uto uto nyong NPA sa bundok, at bumalimbing na ang iba sa NDF nyo.😂😂😂😂",Emotional
00-34,Anonymous,Reply,,,01/24/22 19:58,00-34.png,1485582727265263618,@ClosetMenChu @olymichael @ColmenaresPH @atomaraullo Yan ang hindi maintindihan nga mga tangang kakampink...tignan mo si neri colmenares puro ngawngaw...sa ngawngaw lang malakas ...NPA kasi ang gago,Transactional
00-35,Identified,Reply,,,01/25/22 18:49,00-35.png,1485927707544551428,"@mlq3 NPA Supporters! Akbayan at Colmenares, radical extremists",Rational
00-36,Anonymous,Reply,,,01/26/22 00:39,00-36.png,1486015778440712192,@mannycatabas @ColmenaresPH Impeachable dba? bakit ayaw magfile ni Neri ng Impeachment Case kay Digong? hahahaha 🤣 Tanong mo si Neri kung bakit alam nilang 25K ang food budget ng oversize NPA platoon sa loob ng 2 buwan.,Emotional
00-37,Anonymous,Reply,,,01/26/22 00:42,00-37.png,1486016747446566914,"@NarsFlorence @notetoself47 @ColmenaresPH Tanongin mo nga si Neri pano nya nalaman na 25K yung budget sa food ng oversize NPA platoon for 2 months? 
 
 Impeachable pala hidi mag public ng SALN bakit si Duterte ayaw niya ipaimpeach?",Emotional
00-38,Anonymous,Reply,,,01/26/22 00:47,00-38.png,1486017791450701826,"@ColmenaresPH  ""Neri Colmenares and Rene Magtugbo, I was told, said no way would the finance officers of their ""party groups,"" whatever these are, authorize an allocation of P25,000 for a dinner. That's the food budget of an oversized NPA platoon for two months, one of them explained.""😂",Rational
00-39,Anonymous,Reply,,,01/27/22 12:47,00-39.png,1486561411236970496,"@PhilstarNews To tell the Truth , Why dont you tell Mr. Colmenares that your Bayan Muna party list is a legal front of CPP and you are allied with Joma Sison , tingnan niyo muna sarili niyo bago kayo humusga ng kalaban niyo sa politika.",Emotional
00-40,Identified,Reply,,,01/27/22 12:59,00-40.png,1486564536014364676,"@ColmenaresPH Yun lang Neri, ikaw nga NPA hndi umaamin, salot!",Emotional
00-41,Anonymous,Reply,,,01/27/22 18:06,00-41.png,1486641863243100162,"@inquirerdotnet Sige pa Colmenares, isiksik mo pa sarili mo. Wala ka pa rin pagasa manalo. Bumalik ka na lang sa bundok kasama ang tropa mong NPA",Emotional
00-42,Anonymous,Reply,,,01/27/22 21:20,00-42.png,1486690545670197251,"nag-iingay ka din tulad ni Rowena Guanzon?🤣😅🤣
Ka Neri na NPA di na uubra style mo at alam ko ngayon pa lang takot na ang Grupo niyo dahil pag nanalo si BBM 😅😅😅 utas kayo.",Emotional
00-43,Anonymous,Reply,,,01/28/22 01:05,00-43.png,1486747116760297472,"@jd_specter @LakasNgTimog Mas maraming pinatay ang mga NPA, bakit ayaw nyo na humingi ng tawag din si Joma, Chel, Satur, Colmenares, Sarah Elago at mga ibang alipores ni Jomang NDF?",Rational
00-44,Anonymous,Reply,,,01/28/22 19:41,00-44.png,1487028076248592385,"@Sinel1Sinel @iampinglacson @MargarethMiche6 Haha si Abnoy pa ang ina admire na minura ng isang Ambassador ng Amerika noong kasagsagan ng Hearing ng SAF44 mismo sa Malacanang.Pathetic.weeeh, di nga kinalaban niya ang mga NPA eh, tiklop nga sya sa mga Teroristang si Colmenares noong sa senado at nilaglag niya ang NTF ELCAC",Emotional
00-45,Anonymous,Reply,,,01/28/22 21:23,00-45.png,1487053715659845632,@ColmenaresPH Si Neri ay kasapi ng NPA. End of story.,Emotional
00-46,Identified,Reply,,,01/28/22 21:59,00-46.png,1487062708897792002,"1Sambayan is actually a museum of trash. So, you are a perfect addition to that, NPA Colmenares. Congrats!",Emotional
00-47,Anonymous,Reply,,,01/29/22 02:05,00-47.png,1487124705849090067,"@bongbongmarcos Because Robredo is NPA, then Guanzon & Neri who point their finger at me from ""right"" to UP Left are NPAs too since they will vote for Robredo and not Marcos.- Domingo, Intelligence Chief, CPP-NPA.",Rational
00-48,Identified,Reply,,,01/29/22 05:18,00-48.png,1487173174852681729,@PhilstarNews @XaveGregorio NPA advocate Colmenares endorsing vp leni? So they are friends.,Transactional
00-49,Identified,Text,,,01/29/22 10:59,00-49.png,1487259116179693571,"At akbayan partylist member si Risa Hontiveros, Chel Diokno pro NPA at pro criminals, Colmenares my pamangkin na drug lord as cebu nahuli last 2017 at pro NPA at iyong iba trapo 😂😂😂",Rational
00-50,Anonymous,Reply,,,01/30/22 01:57,00-50.png,1487485007019008000,"@PhilstarNews saan galing ang boto ni Colmenares na 30 millions? haha bolahi mo mga Npa na kasangga mo, kung may natira pa.",Emotional
00-51,Identified,Reply,,,01/30/22 14:17,00-51.png,1487671366803509249,"@ColmenaresPH Mr NPA Colmenares, hindi ka bagay sa Senado. Communist funk.",Emotional
00-52,Identified,Reply,,,01/30/22 21:26,00-52.png,1487779354771787776,"@Pjgaron0 By all means try girl ,try , mas maganda sumama ka sa NPA ,at may kataga kang maririnig ,magiging lechon or cornbeef😁🤔👊🤣🎗️💩🎗️ sige na subukan mo lang dala ka granada isama mo na si neri/teddy casinø/sarah elags na membro ng npa try pls try",Emotional
00-53,Anonymous,Reply,,,01/30/22 22:35,00-53.png,1487796694095831054,Sardinas at noodles ang pinaglalaban ng NPA hahaha 🤣😂😅 nasaan na yung pondo ng NPA? nagamit na ba ni Colmenares? 🤣,Rational
00-54,Anonymous,Image (including GIF),,,02/02/22 14:16,00-54.png,1488758214577758209,New People's Army or NPA leader Joma Sison officially endorsed the candidates Leni and Kiko along with a Pro-communist Neri colmenares. The names I mentioned are people you should not vote for because they are allies of a terrorist group. https://t.co/s8bg2N8g2F,Rational
00-55,Anonymous,Text,,,02/02/22 19:02,00-55.png,1488830052955574274,New People's Army or NPA leader Joma Sison officially endorsed the candidates Leni and Kiko along with a Pro-communist Neri colmenares. The names I mentioned are people you should not vote for because they are allies of a terrorist group.,Transactional
00-56,Anonymous,Text,,,02/02/22 19:04,00-56.png,1488830682860335107,New People's Army or NPA leader Joma Sison officially endorsed the candidates Leni and Kiko along with a Pro-communist Neri colmenares. The names I mentioned are people you should not vote for because they are allies of a terrorist group.,Transactional
00-57,Anonymous,Reply,,,02/02/22 21:16,00-57.png,1488863920953520133,"No way for the TERRORIST NPA to put its finger in a democratic government. Neri Colmenares is an NPA cadre. For Leni and Kiko, they have sold their souls to the TERRORIST for their selfish ambition and greed!
This can’t be clearer than this.",Transactional
00-58,Anonymous,Text,,,02/03/22 09:51,00-58.png,1489053996900024320,@ralphjms Kasi nga dilawan si diokno at bata ni sison si colmenares. Ano mapapala mo sa kanila?. Robin will not win though pero mas ok na siya kesa dilawan at NPA.,Transactional
00-59,Anonymous,Reply,,,02/03/22 11:31,00-59.png,1489079190934622210,"@ralphjms Why the fk would we choose Diokno and Neri eh they aligned themselves with the leftists?! Shuta lang? Lol. A good CPP-NPA-NDF is a dead one, including their cohorts and those who are aligned with them.",Emotional
00-60,Anonymous,Reply,,,02/03/22 13:13,00-60.png,1489104808342867968,@ralphjms Yes kasi npa yan neri colmenares nyo at ung chel diokno nyo pinagmumulan ng gulo. Matalino mga pinoy ngayon wahahahaha,Transactional
00-61,Anonymous,Reply,,,02/04/22 16:29,00-61.png,1489516543671095299,"@thomaspambid Binay, de Lima, Colmenares (with NPA ties), and all NPA legal fronts endorsing Leni.** 

The NPA will never become the lesser evil. 💅",Transactional
00-62,Anonymous,Reply,,,02/04/22 21:59,00-62.png,1489599523223576580,"@VictorN81097206 @TetsMakino @bongbongmarcos And Leni has Binay, De Lima, Neri Colmenares and the legal NPA fronts. Try harder. 💅",Rational
00-63,Anonymous,Text,,,02/05/22 11:27,00-63.png,1489802812196155397,"Kung ano yung naging pinagkakagawang kasamaan at kasalanan ni Joma Sison at yung mga alipores niya sa CPP-NPA-NDF (such as Zarate, Elago, Brosas, Castro, Cullamat, Gaite, Colmenares, Casiño, Ocampo, atbp.) ay nasa kamay ng nila Robredo, Lacson, Pacquiao, Moreno at Ka Leody.",Emotional
00-64,Anonymous,Reply,,,02/07/22 05:28,00-64.png,1490437167843360769,@Shortee3MEW @cheetahxmkl @aviislegit Bakit si binay kasama sa senators ng nanay mo? De lima is convicted. Neri colminares is NPA. Ikaw amg mgisip isip. Kainin mo sinabi mo hahha,Emotional
00-65,Media,Text,,,02/07/22 10:04,00-65.png,1490506806988513280,Uncovered | This notorious WANTED terrorist leader of the CPP NPA in Bukidnon and Cotabato is no less than Charisse Bernadine Banez alias Ka Nikkie. (with Neri Colmenares &amp; Sarah Elago) https://t.co/wW8WrF4YF9,Rational
00-66,Anonymous,Reply,,,02/08/22 20:12,00-66.png,1491022070746021894,"@Dayanneeei Back to you-- galit sa magnanakaw pero kasama sa slate mo si binay, yung isang linked sa npa si colmenares, yung drug queen? The hypocrisy.",Emotional
00-67,Identified,Reply,,,02/09/22 00:55,00-67.png,1491093452960169984,"@pmjamilla Big No to communist. Neri Colmenaris is one of them since pinaglalaban mo sila, tinanong nyo nlng din sana anong pinaglalaban nilang mga NPA dati 😑 kng d yan sila nagrebelde may mabibili pa sanang pagkain sa sentimo centavos ngayon. Libre/mura ang kuryente at tubig. Ano ho?",Rational
00-68,Anonymous,Reply,,,02/09/22 08:44,00-68.png,1491211375016017920,@pmjamilla Take it from the NPA like Colmenares.,Transactional
00-69,Anonymous,Reply,,,02/09/22 09:23,00-69.png,1491221298001117188,"@pmjamilla lol Neri is a terrorist apologist. his group couldn't even condemn the traitorous acts of CPP-NPA-NDF, what else can you call him and his ilk?",Rational
00-70,Anonymous,Reply,,,02/09/22 13:42,00-70.png,1491286255292026881,"@pmjamilla Recall: 
 - Neri in his youth was a member of one of the CPP front groups. Wala syang pinag iba kay Sarah Elago ngayun.
 
 - Neri was a Bayan Muna PL congressman. No introduction needed. 
 
 Martial Law was declared to thrash Communism, wherein Neri is one of them.",Rational
00-71,Anonymous,Text,,,02/09/22 17:20,00-71.png,1491341182836023296,"My father was born 1946 in Samar Leyte. Sabi nya, anti-gov at NPA lang daw yong against kay Marcos noon.
 
 Eh kung nakuryente ang titi ni Colmenares sa panahon ni Marcos. Ano si Colmenares?🤔😁
 
 Paki ask ng mga Lolo at Lola nyo kung tugma ba sa kwento ng tatay ko😊",Rational
00-72,Identified,Reply,,,02/09/22 23:38,00-72.png,1491436243418488838,@ColmenaresPH No to NPA terrorist mga nangungutong. Enabler ka no to colmenares,Emotional
00-73,Identified,Reply,,,02/10/22 01:31,00-73.png,1491464908168380419,@jaytwotheworld @143redangel Tama huwag iboto ang uncle ni angel na si colmenares na NPA,Emotional
00-74,Identified,Reply,,,02/10/22 04:41,00-74.png,1491512623375863811,"@PhilstarNews So iboto yung sumusuporta sa mga walang kwentang teroristang NPA? Gaya nalang ng tyohin mo? Oh ikaw mismo,,angel pa naman pangalan mo...kasuklam suklam ang galawan ng ideolohiyang NPA,,,mapanira sa bayan. Wag iboto si Neri colmenares at mga partylist na may kaugnayan sa NPa",Emotional
00-75,Anonymous,Reply,,,02/10/22 09:57,00-75.png,1491592246520528898,@pmjamilla Dapat lang pala matorture ni Neri... NPA sya eh,Emotional
00-76,Anonymous,Reply,,,02/10/22 11:49,00-76.png,1491620187635781634,@Snorlax_0330 Angkan kasi ng NPA si angel locsin... tiyuhin nya si Neri Colmenares n makakaliwa kuno!,Rational
00-77,Identified,Reply,,,02/10/22 20:19,00-77.png,1491748554985345024,@tatz___ ayaw namin sa kandidato na kasapi ng tito mo @143redangel kasi baka pag nanalo yun lumakas ulit partido ng tito neri mo at ang NPA. marami na namang bata sa unibersidad ang madadala sa bundok pra mag aklas and worst ipaparape sa mga kadre ng NPA. kaya no to your tito and leni 🖕🖕🤬,Rational
00-78,Anonymous,Reply,,,02/10/22 21:19,00-78.png,1491763661614227459,@Eduardo83549292 Ang kinabukasan nila ay hawak ng mga NPA like colmenares na sinusuportahan ng nanay niyo. Gising! at labanan ang komunista hindi suportahan!,Transactional
00-79,Anonymous,Text,,,02/13/22 02:11,00-79.png,1492561950693154818,"Aaalahan nyo na yung kasalanan ni Joma Sison and the rest of CPP-NPA-NDF such as Zarate, Elago, Brosas, Castro, Cullamat, Gaite, Colmenares, Ocampo, Casiño, Reyes, among others ay nasa kamay nila Robredo, Pacquiao, Lacson at Moreno, kasi may bahid na kasalanan rin sila.",Rational
00-80,Anonymous,Reply,,,02/13/22 09:22,00-80.png,1492670417219178497,Very NO to COLMENARES!!! Isa kang NPA enabler,Emotional
00-81,Anonymous,Reply,,,02/13/22 20:27,00-81.png,1492837780078366722,"@laarnie888 @amigoManila Do you think an NPA supporter will care about our children? Tingnan mo nga mga kasama ni Leni, MAKABAYAN, TEDDY CASINO, GABRIELLA, NERI COLMENARES. https://t.co/fBMTOxGGPb",Emotional
00-82,Identified,Reply,,,02/13/22 21:58,00-82.png,1492860682097750018,"@habibi_tinatina No neri bayot, kakampi ng mga salot na NPA.",Emotional
00-83,Anonymous,Reply,,,02/14/22 08:07,00-83.png,1493013950258192387,@theninaellaine @migzzubiri @JojoCBinay @ColmenaresPH @lenirobredo AYAW NIYA ILAGAY KASI NAKAKASIRA NG LINEUP ALAM NAMAN NG LAHAT NA MAY LAHING NPA ANG ANIMAL NA COLMENARES.,Emotional
00-84,Anonymous,Reply,,,02/14/22 13:19,00-84.png,1493092391653605377,@AltSyaoranLi Chel Diokno pwede pa.... Colmenares = CPP/NPA,Transactional
00-85,Anonymous,Reply,,,02/14/22 18:53,00-85.png,1493176568117616642,@ColmenaresPH Never vote these idiots and include Neri Colmenares hiding in the skirt of NPA. https://t.co/WarPiIuEVv,Transactional
00-86,Anonymous,Image (including GIF),,,02/16/22 17:22,00-86.png,1493878352905572352,@sehun2345c @ErnieNavarro15 @LilMsMalditaMD Mismo.. Colmenares isa rin Pro NPA kaya siguro hindi nila ma call out ang NPA kc sila mismo maka kaliwa,Rational
00-87,Identified,Text,,,02/17/22 07:28,00-87.png,1494091368301428737,"E hidi ganun din pala si leni nyo, nasa hanay niya ang corrupt na si binay, ang drug protector na si de lima at npa na si colmenares, kaya pala ipapaalis daw ni leni ang elcac kaya kawawang pinas, magsasaya ang npa at iba lang makakaliwang grupo, communist country tayo pag si leni na.",Transactional
00-88,Anonymous,Text,Reply,,02/17/22 10:29,00-88.png,1494136906921426945,@IanMakabayan Not Neri! He's a leftist..No NPA should infiltrate the #BBMSaraUniteam the Lineup should be a Solid Uniteam..,Rational
00-89,Identified,Text,Image,Reply,02/17/22 11:40,00-89.png,1494154656494153729,"Memapenk does not even know what is EO70. She also did not give a damn about NTF-ELCAC until she run for president.
 Whatever her claim of support to the task force, still she cannot deny the fact the she allied herself with the CPP-NDF-NPA by endorsing Neri Colmenares.",Rational
00-90,Identified,Text,Image,Reply,02/17/22 14:06,00-90.png,1494191503480025089,"@kayethln @aupijuan Baguilat. Graft Case. Trillanes. Jailed for rebellion. Risa Philhealth scandal. leila de lima, In jail as drug protector. Diokno, consultant for tax avoidance . Colmenares, friend to CPP NPA. David d'angelo, kalikasan. Please tell me the tarps in your page are biodegradable!! https://t.co/RxYbmhtXRi",Rational
00-91,Anonymous,Text,Reply,Image,02/18/22 15:23,00-91.png,1494573188025511937,"@AlfredoGenomHanep sa trivia ng mga stupinks. Yung kamag anak na NPA nga ni Angel na si Neri Colmenares, ilang Senatorial elections na lagi niyang ineendorso, hindi manalo nalo 🤣 Partida, kasikatan pa niya noon. Pano pa ngayon na has been na? 🤭",Emotional
00-92,Identified,Reply,,,02/19/22 11:55,00-92.png,1494883417556615173,"Actually, the CPP-NDF-NPA have a broad tactical alliance with the Leni-Kiko ticket.
 Evidently, the inclusion of CPP-NDF-NPA fielded candidates, Neri Colmenares and Elmer Labog are one of those proofs.",Rational
00-93,Anonymous,Text,URL,,02/19/22 23:21,00-93.png,1495055951778385924,"Ang galing daw eh sapaw naman sa mga BBM supporters. Wahahhahahha tago mukha pa tapos Tuta ni Colmenares pa. Ewwww Naku po, NPA enabler! Tama na! Palitan na! Rebelde!
 
 https://t.co/uHiGOgS5ea",Transactional
00-94,Anonymous,Text,,,02/20/22 22:03,00-94.png,1495398827733360645,"Kelan ba naman umamin ang mga yan na NPA sila 😂😂😂 pag na Red Tag galit pero ang gawain nmn ay NPA.. 

Di naman mapagkakatiwalaan ang CHR 😂😂😂 dahil meron din NPA na humahawak diyan.. 

Si Colmenares nga 😂😂😂 di naamin eh yung iba pa kaya.Turo na sa kanila yan",Rational
00-95,Identified,Text,Reply,,02/21/22 10:26,00-95.png,1495585639601152000,"@chillycalortiz @Jollibee andun sa hanay ni leni ang corrupt na si binay,ang drug protector si de lima,at colmenares na supporter sa bayan muna at makabayan bloc na sinusuportahan ni joma sison na founder ng npa kaya nga tatanggalin daw ni leni ang elcac once manalo siya. communist country tayo once manalo.",Rational
00-96,Anonymous,Text,Reply,,02/21/22 12:40,00-96.png,1495619459469426690,@ColmenaresPH team buwang ni Neri npa colminares,Rational
00-97,Anonymous,Text,Reply,,02/21/22 15:32,00-97.png,1495662792464121856,@radbob79 I drop si zubiri at tuluyan ng mangamote sa Mindanao... Neri pa.. Naglagay lang ng NPA sa senado ng gobyerno,Transactional
00-98,Anonymous,Text,Reply,,02/21/22 21:59,00-98.png,1495760031790346253,@grantmeanewlife @lukeconde07 Kaya nga nasa line up nang pinklawan si Colmenares na alam nang lhat na isa sa mga taga suporta nang NPA.. Kaya nga ayaw nyo kay DU30 kc binubomba yung mga NPA😂😂😂,Rational
00-99,Anonymous,Text,Reply,,02/21/22 23:46,00-99.png,1495786981485383684,"Fact; CONFIRMED CPPA NPA ALLY SINA CHEL DIOKNO AT SI NERI COLMENARES AT MOSTLY NG PINK LAWAN CANDIDATES

Talasan nyo mga maga nyo sa mga kaalyado ng kumunista na pilit pinapasok ang gobyerno ng Pilipinas 😏😏🤨",Rational
00-100,Anonymous,Text,Reply,,02/22/22 14:30,00-100.png,1496009422941921286,@ColmenaresPH NPA THe Evil like Colmenares.,Rational
00-101,Anonymous,Text,Image,Reply,02/22/22 18:00,00-101.png,1496062423127982080,@ColmenaresPH 😂😂😂Colmenares ay isang member ng legal front ng salot at teroristang CPP/NPA/NDF... https://t.co/8PPhxT4J3t,Rational
00-102,Anonymous,Text,Reply,,02/22/22 22:38,00-102.png,1496132392079495171,"@jcmanila Unggoy mo Neri Colmenares, kayo ng mga kasama mong NPA NDF ang Demonyo at salot ng bansa. konti nalang, mauubos din kayo king ina nyo!",Emotional
00-103,Identified,Text,Reply,,02/23/22 16:34,00-103.png,1496403047395770373,@sandrobanana_ @meceelee Pati si diokno colmenares mga kasapi sila CPP NPA NDF,Rational
00-104,Identified,Text,Reply,,02/24/22 07:40,00-104.png,1496631188668444680,@maryirmin @raissawriter Colmenares? Kasabawat naman ng mga NPA tawag sa kanya ✌️❤️ 💚,Rational
00-105,Identified,Text,Reply,,02/24/22 08:08,00-105.png,1496638008556015616,Colmenares really means the evils of the npa terrorists and its kabag,Rational
